perfume_id,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
0,PACO RABANNE,1 Million Lucky,395,244.55,100,EDT,Men,Woody,"Oakmoss, Patchouli, Vetiver","Hazelnut, Jasmine, Cashmirwood, Cedar ,  Honey",5,noon,4.2,98.1K
1,Roberto Cavalli,Paradiso Assoluto,415,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood, Patchouli","Wild Jasmine , Red Lily",4.8,noon,4.2,98.1K
2,S.T.Dupont,Royal Amber,265,186.9,100,EDP,Unisex,Arabian,"Lemon, Mint, Wood, Moss","Sandalwood, Cedar",5,noon,4.2,98.1K
3,GUESS,Seductive Blue,290,103.2,100,EDT,Men,Spicy,"Cashmere Wood, Moss, Rippled Sand Accord","Blue Coral Aquaspace Accord, Geranium",3,noon,4.2,98.1K
4,Roberto Cavalli,Uomo,260,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K
5,Roberto Cavalli,cavalli,260,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K
6,HUGO BOSS,The Scent,220,220,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4,rich&light,4.3,4K
7,DORALL COLLECTION,Gold Secret,43,12.35,100,EDT,Men,Fruity,"Labdanum, Musk","Lavender, Cloves",2.9,B.A.G,3.7,14.1K
8,GUCCI,Bamboo,575,189,75,EDP,Women,Floral,Sandalwood,"Casablanca Lily, Ylang Ylang Extra-Comoros",4.8,Al-Najm,3.7,347
9,Yves Saint Laurent,M7 Oud Absolu,536,273,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347
10,CERRUTI 1881,1881,335,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper, Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-of-the-valley, Cassia",4.3,AMLAQ,3.9,135
11,Calvin Klein,IN 2 U MEN,152,85,100,EDT,Men,Citrus,"White Musk, Vetiver, Cedar",Cacao Pod,3.7,AMLAQ,3.9,135
12,Rasasi,Royale Blue,97,45.3,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,"Distinct, Exotic",4.5,Bismat Eatar,3.9,66
13,MONTALE,Black Oud,455,240,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3,noon,4.2,98.1K
14,Yves Saint Laurent,L'Homme,536,273.8,100,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",3,noon,4.2,98.1K
15,CHLOE,Love Story,483,274.95,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5,noon,4.2,98.1K
16,NARCISO RODRIGUEZ,Narciso Rouge,591,275.15,90,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,4.5,noon,4.2,98.1K
17,DORALL COLLECTION,24 Pure,22,9.85,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K
