perfume_id,brand,name,old_price,old_price_THB,new_price,new_price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
0,PACO RABANNE,1 Million Lucky,395,13046.85,244.55,8077.4865,100,EDT,Men,Woody,"Oakmoss, Patchouli, Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar ,  Honey",5,noon,4.2,98.1K
1,Roberto Cavalli,Paradiso Assoluto,415,13707.45,107.95,3565.5885,50,EDP,Women,Floral,"Vanilla, Sandalwood, Patchouli","Wild Jasmine , Red Lily",4.8,noon,4.2,98.1K
2,S.T.Dupont,Royal Amber,265,8752.95,186.9,6173.307,100,EDP,Unisex,Arabian,"Lemon, Mint, Wood Moss","Sandalwood, Cedar",5,noon,4.2,98.1K
3,GUESS,Seductive Blue,290,9578.7,103.2,3408.696,100,EDT,Men,Spicy,"Cashmere Wood, Moss, Rippled Sand Accord","Blue Coral Aquaspace Accord, Geranium",3,noon,4.2,98.1K
4,Roberto Cavalli,Uomo,260,8587.8,94.95,3136.1985,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K
5,Roberto Cavalli,cavalli,260,8587.8,94.95,3136.1985,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K
6,HUGO BOSS,The Scent,220,7266.6,220,7266.6,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4,rich&light,43,4K
7,DORALL COLLECTION,Gold Secret,43,1420.29,12.35,407.9205,100,EDT,Men,Fruity,"Labdanum, Musk","Lavender, Cloves",2.9,B.A.G,3.7,14.1K
8,GUCCI,Bamboo,575,18992.25,189,6242.67,75,EDP,Women,Floral,Sandalwood,"Casablanca Lily, Ylang Ylang Extra-Comoros",4.8,Al-Najm,3.7,347
9,Yves Saint Laurent,M7 Oud Absolu,536,17704.08,273,9017.19,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347
10,CERRUTI 1881,1881,335,11065.05,119.55,3948.7365,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper, Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley, Cassia",4.3,AMLAQ,3.9,135
11,Calvin Klein,IN 2 U MEN,152,5020.56,85,2807.55,100,EDT,Men,Citrus,"White Musk, Vetiver, Cedar",Cacao Pod,3.7,AMLAQ,3.9,135
12,Rasasi,Royale Blue,97,3203.91,45.3,1496.259,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,"Distinct, Exotic",4.5,Bismat Eatar,3.9,66
13,MONTALE,Black Oud,455,15028.65,240,7927.2,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3,noon,4.2,98.1K
14,Yves Saint Laurent,L'Homme,536,17704.08,273.8,9043.614,100,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",3,noon,4.2,98.1K
15,CHLOE,Love Story,483,15953.49,274.95,9081.5985,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5,noon,4.2,98.1K
16,NARCISO RODRIGUEZ,Narciso Rouge,591,19520.73,275.15,9088.2045,90,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,4.5,noon,4.2,98.1K
17,DORALL COLLECTION,24 Pure,22,726.66,9.85,325.3455,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K
18,Rasasi,Romance,60,1981.8,35.25,1164.3075,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar, Sandalwood","Rose,Jasmine",4.5,B.A.G,3.7,14.1K
19,BOUCHERON,Quatre,327,10800.81,171.5,5664.645,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5,Star.perfume,3.9,537
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595,19652.85,200,6606,100,EDP,Women,Floral,"Patchouli, Sandalwood","Amber, Musk",4.6,hadayiq baris,3.8,122
21,Alina Corel,Monsieur Intense Gold,31.45,1038.7935,31.45,1038.7935,100,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5,Kathya,3.8,116
22,Revlon,Charlie Gold,143,4723.29,43,1420.29,100,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4,Golden Perfumesعطر أصلي 100  %,3.6,113
23,TED LAPIDUS,Pour Homme,129,4260.87,44.45,1468.1835,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5,neo lek,3.5,88
