perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,THB,min_price,max_price,,,,
0,PACO RABANNE,1 Million Lucky,https://www.rabanne.com/medias/sys_master/images/h2f/hce/10040456675358/10040456609822/10040456609822.jpg,395,244.55,8104.387,100,EDT,Men,Woody,"Oakmoss, Patchouli, Vetiver","Hazelnut, Jasmine, Cashmirwood, Cedar , Honey",5,noon,4.2,98.1K,,,33.14,177.299,29986.729,,,,
1,Roberto Cavalli,Paradiso Assoluto,https://www.kristiana.lt/media/catalog/product/b/1/b1117718180d1f17cb5e5a0ff4e2c9f3631.jpg,415,107.95,3577.463,50,EDP,Women,Floral,"Vanilla, Sandalwood, Patchouli","Wild Jasmine , Red Lily",4.8,noon,4.2,98.1K,,,,,,,,,
2,S.T.Dupont,Royal Amber,https://www.lascento.co.za/wp-content/uploads/2019/02/Royal-amber-perfume.jpeg,265,186.9,6193.866,100,EDP,Unisex,Arabian,"Lemon, Mint, Woody, Moss","Sandalwood, Cedar",5,noon,4.2,98.1K,,,,,,,,,
3,GUESS,Seductive Blue,https://m.media-amazon.com/images/I/71oYibtYAzL.jpg,290,103.2,3420.048,100,EDT,Men,Spicy,"Cashmere Wood, Moss, Rippled Sand Accord","Blue Coral Aquaspace Accord, Geranium",3,noon,4.2,98.1K,,,,,,,,,
4,Roberto Cavalli,Uomo,https://www.peacock-bazaar.co.uk/cdn/shop/files/Roberto-Cavalli-Uomo-Eau-De-Parfum-100ml-EDP1.jpg?v=1718770675,260,94.95,3146.643,50,EDP,Women,Arabian,"Vanilla, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,,,,,,,,,
5,Roberto Cavalli,cavalli,https://image.makewebcdn.com/makeweb/m_1920x0/2q1fSqVKm/1product/0538.jpg,260,94.95,3146.643,50,EDP,Women,Arabian,"Vanilla, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,,,,,,,,,
6,HUGO BOSS,The Scent,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1510832226/prod/645353-l1.jpg",220,220,7290.8,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4,rich&light,4.3,4K,,,,,,,,,
7,DORALL COLLECTION,Gold Secret,https://m.media-amazon.com/images/I/61TG3Kqcf8L.jpg,43,12.35,409.279,100,EDT,Men,Fruity,"Labdanum, Musk","Lavender, Cloves",2.9,B.A.G,3.7,14.1K,,,,,,,,,
8,GUCCI,Bamboo,https://filebroker-cdn.lazada.co.th/kf/Sc94f247011ce4fd78536119aad326b8eq.jpg,575,189,6263.46,75,EDP,Women,Floral,Sandalwood,"Casablanca Lily, Ylang Ylang Extra-Comoros",4.8,Al-Najm,3.7,347,,,,,,,,,
9,Yves Saint Laurent,M7 Oud Absolu,https://www.snapperfumes.in/cdn/shop/products/ysl-m7-oud-absolu-samplesdecants-145211.jpg?v=1697465489,536,273,9047.22,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347,,,,,,,,,
