perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,,,THB,,,Men_typ,Women_typ,Unisex_typ,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,PACO RABANNE,1 Million Lucky,https://www.rabanne.com/medias/sys_master/images/h2f/hce/10040456675358/10040456609822/10040456609822.jpg,395,244.55,2220.514,100,EDT,Men,Woody,"Oakmoss, Patchouli, Vetiver","Hazelnut, Jasmine, Cashmirwood, Cedar , Honey",5,noon,4.2,98.1K,,,,Saudi Riyal,8.89,,Min_price,50.848,62.198,48.578,48.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GUESS,Seductive Blue,https://m.media-amazon.com/images/I/71oYibtYAzL.jpg,290,103.2,937.056,100,EDT,Men,Spicy,"Cashmere Wood, Moss, Rippled Sand Accord","Blue Coral Aquaspace Accord, Geranium",3,noon,4.2,98.1K,,,,Emirates,9.08,,Max_price,8044.88,8216.038,6346.92,8216.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DORALL COLLECTION,Gold Secret,https://m.media-amazon.com/images/I/61TG3Kqcf8L.jpg,43,12.35,112.138,100,EDT,Men,Fruity,"Labdanum, Musk","Lavender, Cloves",2.9,B.A.G,3.7,14.1K,,,,Egyptian,0.69,,Avg_price,1288.310388,1458.98393,1249.069725,1369.545663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yves Saint Laurent,M7 Oud Absolu,https://www.snapperfumes.in/cdn/shop/products/ysl-m7-oud-absolu-samplesdecants-145211.jpg?v=1697465489,536,273,2478.84,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CERRUTI 1881,1881,https://thebarbersupplier.com/cdn/shop/files/cerruti-1881-reve-de-roses_1024x1024_25fb3ba2-9ca8-4697-bfa0-697a77969b43_1024x.png?v=1713121565,335,119.55,1085.514,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oakmoss, Cedar, Pepper, Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-of-the-valley, Cassia",4.3,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Calvin Klein,IN 2 U MEN,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/f54e821a-104b-417a-a311-20ebfa272635.__CR0,0,800,600_PT0_SX800_V1___.png",152,85,771.8,100,EDT,Men,Citrus,"White Musk, Vetiver, Cedar",Cacao Pod,3.7,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rasasi,Royale Blue,https://arabianperfumes.co.za/cdn/shop/products/royale-blue-rasasi-470832.jpg?v=1695133003,97,45.3,411.324,75,EDP,Men,Fruity,"Musk, Sensual Woods","Distinct, Exotic",4.5,Bismat Eatar,3.9,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MONTALE,Black Oud,https://cdn.salla.sa/ebmQD/2JHLVxgSK1xoPbxZSOKEYQ9WjrSV5nLKNdSJIGni.png,455,240,2179.2,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yves Saint Laurent,L'Homme,https://www.yslbeautyus.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dw6c5314cf/Fragrance/Lhomme_2/3365440316560_L-Homme_01.jpg,536,273.8,2486.104,100,EDT,Men,Woody,"Tonka Bean, Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",3,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DORALL COLLECTION,24 Pure,"https://m.media-amazon.com/images/I/71mWW+MCIHL._AC_UF1000,1000_QL80_.jpg",22,9.85,89.438,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TED LAPIDUS,Pour Homme,https://images.othoba.com/images/thumbs/0588467_lapidus-by-ted-lapidus-for-men-eau-de-toilette-spray-33-ounces.jpeg,129,44.45,403.606,100,EDT,Men,Woody,"Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Cedar, Tobacco","Pine tree, Honey, Orris Root, Jasmine, Caraway, Petitgrain, Lily-of-the-valley, Rose, Brazilian Rosewood, Incense",5,neo lek,3.5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Yves Saint Laurent,Body Kouros,https://www.yslbeauty.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dw492690f1/square/Fragrance/ForHim/Kouros/431YSL/3365440098244_body-kouros-eau-de-toilette-vaporisateur_100ml.jpg,510,203.6,1848.688,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Geoffrey Beene,Grey Flannel For Men,"https://m.media-amazon.com/images/I/71XEseCx5rL._AC_UF1000,1000_QL80_.jpg",361,79,717.32,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver, Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium, Narcissus",5,top langri,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Rasasi,Al Wisam Day,https://i5.walmartimages.com/asr/b92c9fc5-cb32-4064-9daa-5d735f7ea69d.782f70f11a93c1b7aaeecd5f34af0055.png,177,76,690.08,100,EDP,Men,Oriental,"Oakmoss, Rich, Oud","Amber Nuanced Clary Sage, Soft, Milky Sandalwood, Woody, Cedarwood",4.3,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
